date ,event name ,period,survey median,actual ,prior ,revision 
5/16/2022 8:30,Empire Manufacturing,May,15,-11.6,24.6,#N/A
5/17/2022 8:30,Retail Sales Advance MoM,Apr,1,0.9,0.5,2.12684
5/17/2022 9:15,Industrial Production MoM,Apr,0.5,1.1,0.9,0.78818
5/18/2022 7:00,MBA Mortgage Applications,13-May,#N/A,-11,2,#N/A
5/18/2022 8:30,Housing Starts,Apr,1756,1724,1793,1713
5/19/2022 8:30,Initial Jobless Claims,14-May,200,218,203,206
5/19/2022 10:00,Existing Home Sales,Apr,5.64,5.61,5.77,5.63
5/19/2022 10:00,Leading Index,Apr,0,-0.3,0.3,-0.1
5/24/2022 9:45,S&P Global US Manufacturing PMI,May P,57.65,#N/A,59.2,#N/A
5/24/2022 10:00,New Home Sales,Apr,748,591,763,707
5/25/2022 7:00,MBA Mortgage Applications,20-May,#N/A,-1.2,-11,#N/A
5/25/2022 8:30,Durable Goods Orders,Apr P,0.6,0.4,1.1,0.6
5/26/2022 8:30,Initial Jobless Claims,21-May,215,210,218,224
5/26/2022 8:30,GDP Annualized QoQ,1Q S,-1.3,-1.5,-1.4,-2
5/27/2022 8:30,Personal Income,Apr,0.5,0.4,0.5,0.39347
5/27/2022 8:30,Personal Spending,Apr,0.75,0.9,1.1,1.17458
5/27/2022 8:30,Wholesale Inventories MoM,Apr P,2,2.1,2.3,2.7
5/27/2022 10:00,U. of Mich. Sentiment,May F,59.1,58.4,59.1,#N/A
5/31/2022 9:45,MNI Chicago PMI,May,55,60.3,56.4,54.1591581
5/31/2022 10:00,Conf. Board Consumer Confidence,May,103.6,106.4,107.3,108.6
6/1/2022 7:00,MBA Mortgage Applications,27-May,#N/A,-2.3,-1.2,#N/A
6/1/2022 9:45,S&P Global US Manufacturing PMI,May F,57.5,57,59.2,57
6/1/2022 10:00,ISM Manufacturing,May,54.5,56.1,55.4,55.6
6/2/2022 8:15,ADP Employment Change,May,300,128,247,284
6/2/2022 8:30,Initial Jobless Claims,28-May,210,200,210,212
6/2/2022 10:00,Durable Goods Orders,Apr F,0.4,0.5,0.4,1.00657
6/2/2022 10:00,Factory Orders,Apr,0.65,0.3,2.2,2.24155
6/3/2022 8:30,Unemployment Rate,May,3.5,3.6,3.6,3.7
6/3/2022 8:30,Change in Nonfarm Payrolls,May,317.5,390,428,272
6/7/2022 8:30,Trade Balance,Apr,-89.5,-87.1,-109.8,-102.536
6/8/2022 7:00,MBA Mortgage Applications,3-Jun,#N/A,-6.5,-2.3,#N/A
6/8/2022 10:00,Wholesale Inventories MoM,Apr F,2.1,2.2,2.1,2.35837
6/9/2022 8:30,Initial Jobless Claims,4-Jun,206,229,200,201
6/10/2022 8:30,CPI MoM,May,0.7,1,0.3,0.39622
6/10/2022 8:30,CPI YoY,May,8.29,8.6,8.3,#N/A
6/10/2022 10:00,U. of Mich. Sentiment,Jun P,58.1,50.2,58.4,#N/A
6/14/2022 8:30,PPI Final Demand MoM,May,0.8,0.8,0.5,0.59692
6/15/2022 7:00,MBA Mortgage Applications,10-Jun,#N/A,6.6,-6.5,#N/A
6/15/2022 8:30,Retail Sales Advance MoM,May,0.1,-0.3,0.9,1.32659
6/15/2022 8:30,Empire Manufacturing,Jun,2.25,-1.2,-11.6,#N/A
6/15/2022 14:00,FOMC Rate Decision (Upper Bound),15-Jun,1.5,1.75,1,#N/A
6/16/2022 8:30,Housing Starts,May,1693,1549,1724,1803
6/16/2022 8:30,Initial Jobless Claims,11-Jun,216.5,229,229,215
6/17/2022 9:15,Industrial Production MoM,May,0.4,0.2,1.1,0.30963
6/17/2022 10:00,Leading Index,May,-0.4,-0.4,-0.3,-0.4
6/21/2022 10:00,Existing Home Sales,May,5.4,5.41,5.61,5.53
6/22/2022 7:00,MBA Mortgage Applications,17-Jun,#N/A,4.2,6.6,#N/A
6/23/2022 8:30,Initial Jobless Claims,18-Jun,226,229,229,214
6/23/2022 9:45,S&P Global US Manufacturing PMI,Jun P,55.95,#N/A,57,#N/A
6/24/2022 10:00,New Home Sales,May,590,696,591,611
6/24/2022 10:00,U. of Mich. Sentiment,Jun F,50.2,50,50.2,#N/A
6/27/2022 8:30,Durable Goods Orders,May P,0.1,0.7,0.5,0.4
6/28/2022 8:30,Wholesale Inventories MoM,May P,2.1,2,2.2,2.3
6/28/2022 10:00,Conf. Board Consumer Confidence,Jun,100,98.7,106.4,103.2
6/29/2022 7:00,MBA Mortgage Applications,24-Jun,#N/A,0.7,4.2,#N/A
6/29/2022 8:30,GDP Annualized QoQ,1Q T,-1.5,-1.6,-1.5,#N/A
6/30/2022 8:30,Initial Jobless Claims,25-Jun,229.5,231,229,216
6/30/2022 8:30,Personal Income,May,0.5,0.5,0.4,0.32883
6/30/2022 8:30,Personal Spending,May,0.4,0.2,0.9,0.62145
6/30/2022 9:45,MNI Chicago PMI,Jun,58,56,60.3,58.78430152
7/1/2022 9:45,S&P Global US Manufacturing PMI,Jun F,52.4,52.7,57,52.7
7/1/2022 10:00,ISM Manufacturing,Jun,54.5,53,56.1,56.1
7/5/2022 10:00,Durable Goods Orders,May F,0.7,0.8,0.7,0.67283
7/5/2022 10:00,Factory Orders,May,0.5,1.6,0.3,0.7
7/6/2022 7:00,MBA Mortgage Applications,1-Jul,#N/A,-5.4,0.7,#N/A
7/7/2022 8:30,Trade Balance,May,-84.7,-85.5,-87.1,-85.975
7/7/2022 8:30,Initial Jobless Claims,2-Jul,230,235,231,213
7/8/2022 8:30,Change in Nonfarm Payrolls,Jun,265,372,390,286
7/8/2022 8:30,Unemployment Rate,Jun,3.6,3.6,3.6,#N/A
7/8/2022 10:00,Wholesale Inventories MoM,May F,2,1.8,2,2.22884
7/13/2022 7:00,MBA Mortgage Applications,8-Jul,#N/A,-1.7,-5.4,#N/A
7/13/2022 8:30,CPI MoM,Jun,1.095,1.3,1,0.92062
7/13/2022 8:30,CPI YoY,Jun,8.8,9.1,8.6,#N/A
7/14/2022 8:30,PPI Final Demand MoM,Jun,0.8,1.1,0.8,0.88604
7/14/2022 8:30,Initial Jobless Claims,9-Jul,235,244,235,214
7/15/2022 8:30,Retail Sales Advance MoM,Jun,0.9,1,-0.3,-0.14559
7/15/2022 8:30,Empire Manufacturing,Jul,-2,11.1,-1.2,#N/A
7/15/2022 9:15,Industrial Production MoM,Jun,0.1,-0.2,0.2,-0.0179
7/15/2022 10:00,U. of Mich. Sentiment,Jul P,50,51.1,50,#N/A
7/19/2022 8:30,Housing Starts,Jun,1580,1559,1549,1543
7/20/2022 7:00,MBA Mortgage Applications,15-Jul,#N/A,-6.3,-1.7,#N/A
7/20/2022 10:00,Existing Home Sales,Jun,5.35,5.12,5.41,5.35
7/21/2022 8:30,Initial Jobless Claims,16-Jul,240,251,244,216
7/21/2022 10:00,Leading Index,Jun,-0.6,-0.8,-0.4,-0.8
7/22/2022 9:45,S&P Global US Manufacturing PMI,Jul P,52,#N/A,52.7,#N/A
7/26/2022 10:00,New Home Sales,Jun,655,590,696,636
7/26/2022 10:00,Conf. Board Consumer Confidence,Jul,97,95.7,98.7,98.4
7/27/2022 7:00,MBA Mortgage Applications,22-Jul,#N/A,-1.8,-6.3,#N/A
7/27/2022 8:30,Wholesale Inventories MoM,Jun P,1.5,1.9,1.8,1.9
7/27/2022 8:30,Durable Goods Orders,Jun P,-0.4,1.9,0.8,#N/A
7/27/2022 14:00,FOMC Rate Decision (Upper Bound),27-Jul,2.5,2.5,1.75,#N/A
7/28/2022 8:30,Initial Jobless Claims,23-Jul,250,256,251,217
7/28/2022 8:30,GDP Annualized QoQ,2Q A,0.4,-0.9,-1.6,#N/A
7/29/2022 8:30,Personal Income,Jun,0.5,0.6,0.5,0.35127
7/29/2022 8:30,Personal Spending,Jun,1,1.1,0.2,0.42942
7/29/2022 9:45,MNI Chicago PMI,Jul,55,52.1,56,55.28733642
7/29/2022 10:00,U. of Mich. Sentiment,Jul F,51.1,51.5,51.1,#N/A
8/1/2022 9:45,S&P Global US Manufacturing PMI,Jul F,52.3,52.2,52.7,52.2
8/1/2022 10:00,ISM Manufacturing,Jul,52,52.8,53,53.4
8/3/2022 7:00,MBA Mortgage Applications,29-Jul,#N/A,1.2,-1.8,#N/A
8/3/2022 10:00,Durable Goods Orders,Jun F,1.9,2,1.9,1.58395
8/3/2022 10:00,Factory Orders,Jun,1.2,2,1.6,1.28124
8/4/2022 8:30,Trade Balance,Jun,-80,-79.6,-85.5,-84.075
8/4/2022 8:30,Initial Jobless Claims,30-Jul,260,260,256,221
8/5/2022 8:30,Change in Nonfarm Payrolls,Jul,250,528,372,420
8/5/2022 8:30,Unemployment Rate,Jul,3.6,3.5,3.6,#N/A
8/10/2022 7:00,MBA Mortgage Applications,5-Aug,#N/A,0.2,1.2,#N/A
8/10/2022 8:30,CPI MoM,Jul,0.2,0,1.3,1.18791
8/10/2022 8:30,CPI YoY,Jul,8.7,8.5,9.1,#N/A
8/10/2022 10:00,Wholesale Inventories MoM,Jun F,1.9,1.8,1.9,1.62357
8/11/2022 8:30,PPI Final Demand MoM,Jul,0.2,-0.5,1.1,0.9268481
8/11/2022 8:30,Initial Jobless Claims,6-Aug,264.5,262,260,229
8/12/2022 10:00,U. of Mich. Sentiment,Aug P,52.5,55.1,51.5,#N/A
8/15/2022 8:30,Empire Manufacturing,Aug,5,-31.3,11.1,#N/A
8/16/2022 8:30,Housing Starts,Jul,1526.5,1446,1559,1561
8/16/2022 9:15,Industrial Production MoM,Jul,0.3,0.6,-0.2,-0.08815
8/17/2022 7:00,MBA Mortgage Applications,12-Aug,#N/A,-2.3,0.2,#N/A
8/17/2022 8:30,Retail Sales Advance MoM,Jul,0.1,0,1,0.82974
8/18/2022 8:30,Initial Jobless Claims,13-Aug,263.5,250,262,221
8/18/2022 10:00,Existing Home Sales,Jul,4.86,4.81,5.12,5.1
8/18/2022 10:00,Leading Index,Jul,-0.5,-0.4,-0.8,-0.7
8/23/2022 9:45,S&P Global US Manufacturing PMI,Aug P,51.8,#N/A,52.2,#N/A
8/23/2022 10:00,New Home Sales,Jul,575,511,590,563
8/24/2022 7:00,MBA Mortgage Applications,19-Aug,#N/A,-1.2,-2.3,#N/A
8/24/2022 8:30,Durable Goods Orders,Jul P,0.8,0,2,2.2
8/25/2022 8:30,Initial Jobless Claims,20-Aug,252,243,250,220
8/25/2022 8:30,GDP Annualized QoQ,2Q S,-0.7,-0.6,-0.9,#N/A
8/26/2022 8:30,Personal Income,Jul,0.6,0.2,0.6,0.3862
8/26/2022 8:30,Personal Spending,Jul,0.5,0.1,1.1,0.94987
8/26/2022 8:30,Wholesale Inventories MoM,Jul P,1.4,0.8,1.8,1.9
8/26/2022 10:00,U. of Mich. Sentiment,Aug F,55.45,58.2,55.1,#N/A
8/30/2022 10:00,Conf. Board Consumer Confidence,Aug,98,103.2,95.7,95.3
8/31/2022 7:00,MBA Mortgage Applications,26-Aug,#N/A,-3.7,-1.2,#N/A
8/31/2022 8:15,ADP Employment Change,Aug,300,132,268,204
8/31/2022 9:45,MNI Chicago PMI,Aug,52.1,52.2,52.1,52.26311018
9/1/2022 8:30,Initial Jobless Claims,27-Aug,247.5,232,243,216
9/1/2022 9:45,S&P Global US Manufacturing PMI,Aug F,51.3,51.5,52.2,51.5
9/1/2022 10:00,ISM Manufacturing,Aug,51.9,52.8,52.8,52.8
9/2/2022 8:30,Change in Nonfarm Payrolls,Aug,297.5,315,528,690
9/2/2022 8:30,Unemployment Rate,Aug,3.5,3.7,3.5,#N/A
9/2/2022 10:00,Durable Goods Orders,Jul F,0,-0.1,0,-0.80771
9/2/2022 10:00,Factory Orders,Jul,0.2,-1,2,1.61436
9/7/2022 7:00,MBA Mortgage Applications,2-Sep,#N/A,-0.8,-3.7,#N/A
9/7/2022 8:30,Trade Balance,Jul,-70.2,-70.6,-79.6,-80.851
9/8/2022 8:30,Initial Jobless Claims,3-Sep,235,222,232,210
9/9/2022 10:00,Wholesale Inventories MoM,Jul F,0.8,0.6,0.8,0.58778
9/13/2022 8:30,CPI MoM,Aug,-0.1,0.1,0,#N/A
9/13/2022 8:30,CPI YoY,Aug,8.0725,8.3,8.5,#N/A
9/14/2022 7:00,MBA Mortgage Applications,9-Sep,#N/A,-1.2,-0.8,#N/A
9/14/2022 8:30,PPI Final Demand MoM,Aug,-0.1,-0.1,-0.5,-0.28183
9/15/2022 8:30,Retail Sales Advance MoM,Aug,-0.1,0.3,0,-0.68962
9/15/2022 8:30,Initial Jobless Claims,10-Sep,227,213,222,205
9/15/2022 8:30,Empire Manufacturing,Sep,-12.9,-1.5,-31.3,#N/A
9/15/2022 9:15,Industrial Production MoM,Aug,0,-0.2,0.6,0.43481
9/16/2022 10:00,U. of Mich. Sentiment,Sep P,60,59.5,58.2,#N/A
9/20/2022 8:30,Housing Starts,Aug,1450,1575,1446,1371
9/21/2022 7:00,MBA Mortgage Applications,16-Sep,#N/A,3.8,-1.2,#N/A
9/21/2022 10:00,Existing Home Sales,Aug,4.7,4.8,4.81,4.86
9/21/2022 14:00,FOMC Rate Decision (Upper Bound),21-Sep,3.25,3.25,2.5,#N/A
9/22/2022 8:30,Initial Jobless Claims,17-Sep,217,213,213,197
9/22/2022 10:00,Leading Index,Aug,-0.1,-0.3,-0.4,-0.6
9/23/2022 9:45,S&P Global US Manufacturing PMI,Sep P,51,#N/A,51.5,#N/A
9/27/2022 8:30,Durable Goods Orders,Aug P,-0.3,-0.2,-0.1,#N/A
9/27/2022 10:00,New Home Sales,Aug,500,685,511,543
9/27/2022 10:00,Conf. Board Consumer Confidence,Sep,104.6,108,103.2,103.6
9/28/2022 7:00,MBA Mortgage Applications,23-Sep,#N/A,-3.7,3.8,#N/A
9/28/2022 8:30,Wholesale Inventories MoM,Aug P,0.4,1.3,0.6,#N/A
9/29/2022 8:30,Initial Jobless Claims,24-Sep,215,193,213,202
9/29/2022 8:30,GDP Annualized QoQ,2Q T,-0.6,-0.6,-0.6,#N/A
9/30/2022 8:30,Personal Income,Aug,0.3,0.3,0.2,0.76194
9/30/2022 8:30,Personal Spending,Aug,0.2,0.4,0.1,0.03644
9/30/2022 9:45,MNI Chicago PMI,Sep,51.8,45.7,52.2,52.02266776
9/30/2022 10:00,U. of Mich. Sentiment,Sep F,59.5,58.6,59.5,#N/A
10/3/2022 9:45,S&P Global US Manufacturing PMI,Sep F,51.8,52,51.5,52
10/3/2022 10:00,ISM Manufacturing,Sep,52,50.9,52.8,52.8
10/4/2022 10:00,Durable Goods Orders,Aug F,-0.2,-0.2,-0.2,-0.14231
10/4/2022 10:00,Factory Orders,Aug,0,0,-1,-1.64772
10/5/2022 7:00,MBA Mortgage Applications,30-Sep,#N/A,-14.2,-3.7,#N/A
10/5/2022 8:15,ADP Employment Change,Sep,200,208,132,282
10/5/2022 8:30,Trade Balance,Aug,-67.7,-67.4,-70.65,-71.672
10/6/2022 8:30,Initial Jobless Claims,1-Oct,204,219,193,187
10/7/2022 8:30,Unemployment Rate,Sep,3.7,3.5,3.7,3.6
10/7/2022 8:30,Change in Nonfarm Payrolls,Sep,255,263,315,243
10/7/2022 10:00,Wholesale Inventories MoM,Aug F,1.3,1.3,1.3,1.28477
10/12/2022 7:00,MBA Mortgage Applications,7-Oct,#N/A,-2,-14.2,#N/A
10/12/2022 8:30,PPI Final Demand MoM,Sep,0.2,0.4,-0.1,-0.08296
10/13/2022 8:30,CPI MoM,Sep,0.2,0.4,0.1,0.07866
10/13/2022 8:30,Initial Jobless Claims,8-Oct,225,228,219,204
10/13/2022 8:30,CPI YoY,Sep,8.1,8.2,8.3,#N/A
10/14/2022 8:30,Retail Sales Advance MoM,Sep,0.2,0,0.3,0.72489
10/14/2022 10:00,U. of Mich. Sentiment,Oct P,58.8,59.8,58.6,#N/A
10/17/2022 8:30,Empire Manufacturing,Oct,-4.25,-9.1,-1.5,#N/A
10/18/2022 9:15,Industrial Production MoM,Sep,0.1,0.4,-0.2,0.09851
10/19/2022 7:00,MBA Mortgage Applications,14-Oct,#N/A,-4.5,-2,#N/A
10/19/2022 8:30,Housing Starts,Sep,1461,1439,1575,1505
10/20/2022 8:30,Initial Jobless Claims,15-Oct,233,214,228,207
10/20/2022 10:00,Existing Home Sales,Sep,4.7,4.71,4.8,4.75
10/20/2022 10:00,Leading Index,Sep,-0.3,-0.4,-0.3,-0.3
10/24/2022 9:45,S&P Global US Manufacturing PMI,Oct P,51,#N/A,52,#N/A
10/25/2022 10:00,Conf. Board Consumer Confidence,Oct,105.9,102.5,108,107.8
10/26/2022 7:00,MBA Mortgage Applications,21-Oct,#N/A,-1.7,-4.5,#N/A
10/26/2022 8:30,Wholesale Inventories MoM,Sep P,1,0.8,1.3,1.4
10/26/2022 10:00,New Home Sales,Sep,580,603,685,638
10/27/2022 8:30,Initial Jobless Claims,22-Oct,220,217,214,200
10/27/2022 8:30,GDP Annualized QoQ,3Q A,2.35,2.6,-0.6,#N/A
10/27/2022 8:30,Durable Goods Orders,Sep P,0.6,0.4,-0.2,0.2
10/28/2022 8:30,Personal Income,Sep,0.4,0.4,0.3,0.51912
10/28/2022 8:30,Personal Spending,Sep,0.4,0.6,0.4,0.77384
10/28/2022 10:00,U. of Mich. Sentiment,Oct F,59.6,59.9,59.8,#N/A
10/31/2022 9:45,MNI Chicago PMI,Oct,47.25,45.2,45.7,47.36741764
11/1/2022 9:45,S&P Global US Manufacturing PMI,Oct F,49.9,50.4,52,50.4
11/1/2022 10:00,ISM Manufacturing,Oct,50,50.2,50.9,50.8
11/2/2022 7:00,MBA Mortgage Applications,28-Oct,#N/A,-0.5,-1.7,#N/A
11/2/2022 8:15,ADP Employment Change,Oct,185,239,208,277
11/2/2022 14:00,FOMC Rate Decision (Upper Bound),2-Nov,4,4,3.25,#N/A
11/3/2022 8:30,Trade Balance,Sep,-72.2,-73.3,-67.4,-67.315
11/3/2022 8:30,Initial Jobless Claims,29-Oct,220,217,217,201
11/3/2022 10:00,Durable Goods Orders,Sep F,0.4,0.4,0.4,0.28866
11/3/2022 10:00,Factory Orders,Sep,0.3,0.3,0,-0.0768
11/4/2022 8:30,Change in Nonfarm Payrolls,Oct,193,261,263,255
11/4/2022 8:30,Unemployment Rate,Oct,3.6,3.7,3.5,#N/A
11/9/2022 7:00,MBA Mortgage Applications,4-Nov,#N/A,-0.1,-0.5,#N/A
11/9/2022 10:00,Wholesale Inventories MoM,Sep F,0.8,0.6,0.8,0.29857
11/10/2022 8:30,Initial Jobless Claims,5-Nov,220,225,217,202
11/10/2022 8:30,CPI MoM,Oct,0.6,0.4,0.4,#N/A
11/10/2022 8:30,CPI YoY,Oct,7.9,7.7,8.2,#N/A
11/11/2022 10:00,U. of Mich. Sentiment,Nov P,59.5,54.7,59.9,#N/A
11/15/2022 8:30,PPI Final Demand MoM,Oct,0.4,0.2,0.4,0.2654794
11/15/2022 8:30,Empire Manufacturing,Nov,-6,4.5,-9.1,#N/A
11/16/2022 7:00,MBA Mortgage Applications,11-Nov,#N/A,2.7,-0.1,#N/A
11/16/2022 8:30,Retail Sales Advance MoM,Oct,1,1.3,0,-0.30136
11/16/2022 9:15,Industrial Production MoM,Oct,0.1,-0.1,0.4,0.28469
11/17/2022 8:30,Housing Starts,Oct,1410,1425,1439,1463
11/17/2022 8:30,Initial Jobless Claims,12-Nov,228,222,225,204
11/18/2022 10:00,Existing Home Sales,Oct,4.4,4.43,4.71,4.7
11/18/2022 10:00,Leading Index,Oct,-0.4,-0.8,-0.4,-0.6
11/23/2022 7:00,MBA Mortgage Applications,18-Nov,#N/A,2.2,2.7,#N/A
11/23/2022 8:30,Initial Jobless Claims,19-Nov,225,240,222,208
11/23/2022 8:30,Durable Goods Orders,Oct P,0.4,1,0.4,0.3
11/23/2022 9:45,S&P Global US Manufacturing PMI,Nov P,50,#N/A,50.4,#N/A
11/23/2022 10:00,U. of Mich. Sentiment,Nov F,55,56.8,54.7,56.7
11/23/2022 10:00,New Home Sales,Oct,570,632,603,567
11/29/2022 10:00,Conf. Board Consumer Confidence,Nov,100,100.2,102.5,102.2
11/30/2022 7:00,MBA Mortgage Applications,25-Nov,#N/A,-0.8,2.2,#N/A
11/30/2022 8:15,ADP Employment Change,Nov,200,127,239,200
11/30/2022 8:30,GDP Annualized QoQ,3Q S,2.8,2.9,2.6,2.7
11/30/2022 8:30,Wholesale Inventories MoM,Oct P,0.5,0.8,0.6,#N/A
11/30/2022 9:45,MNI Chicago PMI,Nov,47,37.2,45.2,46.77865341
12/1/2022 8:30,Initial Jobless Claims,26-Nov,235,225,240,219
12/1/2022 8:30,Personal Income,Oct,0.4,0.7,0.4,0.44169
12/1/2022 8:30,Personal Spending,Oct,0.8,0.8,0.6,#N/A
12/1/2022 9:45,S&P Global US Manufacturing PMI,Nov F,47.6,47.7,50.4,47.7
12/1/2022 10:00,ISM Manufacturing,Nov,49.7,49,50.2,50
12/2/2022 8:30,Unemployment Rate,Nov,3.7,3.7,3.7,3.6
12/2/2022 8:30,Change in Nonfarm Payrolls,Nov,200,263,261,361
12/5/2022 10:00,Durable Goods Orders,Oct F,1,1.1,1,0.96246
12/5/2022 10:00,Factory Orders,Oct,0.7,1,0.3,0.14016
12/6/2022 8:30,Trade Balance,Oct,-80,-78.2,-73.3,-71.726
12/7/2022 7:00,MBA Mortgage Applications,2-Dec,#N/A,-1.9,-0.8,#N/A
12/8/2022 8:30,Initial Jobless Claims,3-Dec,230,230,225,209
12/9/2022 8:30,PPI Final Demand MoM,Nov,0.2,0.3,0.2,0.37749
12/9/2022 10:00,Wholesale Inventories MoM,Oct F,0.8,0.5,0.8,0.60505
12/9/2022 10:00,U. of Mich. Sentiment,Dec P,57,59.1,56.8,#N/A
12/13/2022 8:30,CPI MoM,Nov,0.3,0.1,0.4,0.4883
12/13/2022 8:30,CPI YoY,Nov,7.3,7.1,7.7,#N/A
12/14/2022 7:00,MBA Mortgage Applications,9-Dec,#N/A,3.2,-1.9,#N/A
12/14/2022 14:00,FOMC Rate Decision (Upper Bound),14-Dec,4.5,4.5,4,#N/A
12/15/2022 8:30,Retail Sales Advance MoM,Nov,-0.2,-0.6,1.3,1.4966
12/15/2022 8:30,Initial Jobless Claims,10-Dec,232,211,230,210
12/15/2022 8:30,Empire Manufacturing,Dec,-1,-11.2,4.5,#N/A
12/15/2022 9:15,Industrial Production MoM,Nov,0,-0.2,-0.1,-0.11291
12/16/2022 9:45,S&P Global US Manufacturing PMI,Dec P,47.75,#N/A,47.7,#N/A
12/20/2022 8:30,Housing Starts,Nov,1400,1427,1425,1432
12/21/2022 7:00,MBA Mortgage Applications,16-Dec,#N/A,0.9,3.2,#N/A
12/21/2022 10:00,Existing Home Sales,Nov,4.2,4.09,4.43,4.49
12/21/2022 10:00,Conf. Board Consumer Confidence,Dec,101,108.3,100.2,101.4
12/22/2022 8:30,Initial Jobless Claims,17-Dec,222,216,211,211
12/22/2022 8:30,GDP Annualized QoQ,3Q T,2.9,3.2,2.9,#N/A
12/22/2022 10:00,Leading Index,Nov,-0.5,-1,-0.8,-0.9
12/23/2022 8:30,Personal Income,Nov,0.3,0.4,0.7,0.54554
12/23/2022 8:30,Personal Spending,Nov,0.2,0.1,0.8,0.62415
12/23/2022 8:30,Durable Goods Orders,Nov P,-1,-2.1,1.1,0.7
12/23/2022 10:00,U. of Mich. Sentiment,Dec F,59.1,59.7,59.1,59.8
12/23/2022 10:00,New Home Sales,Nov,600,640,632,577
12/27/2022 8:30,Wholesale Inventories MoM,Nov P,0.3,1,0.5,0.6
12/29/2022 8:30,Initial Jobless Claims,24-Dec,225,225,216,211
12/30/2022 9:45,MNI Chicago PMI,Dec,40,44.9,37.2,37.7956917
1/3/2023 9:45,S&P Global US Manufacturing PMI,Dec F,46.2,46.2,47.7,46.2
1/4/2023 7:00,MBA Mortgage Applications,30-Dec,#N/A,-10.3,-3.2,#N/A
1/4/2023 10:00,ISM Manufacturing,Dec,48.5,48.4,49,48.9
1/5/2023 8:15,ADP Employment Change,Dec,150,235,127,195
1/5/2023 8:30,Initial Jobless Claims,31-Dec,225,204,225,207
1/5/2023 8:30,Trade Balance,Nov,-63,-61.5,-78.2,-78.329
1/6/2023 8:30,Change in Nonfarm Payrolls,Dec,205,223,263,258
1/6/2023 8:30,Unemployment Rate,Dec,3.7,3.5,3.7,3.6
1/6/2023 10:00,Durable Goods Orders,Nov F,-2.1,-2.1,-2.1,-3.13416
1/6/2023 10:00,Factory Orders,Nov,-1,-1.8,1,0.91876
1/10/2023 10:00,Wholesale Inventories MoM,Nov F,1,1,1,0.6008
1/11/2023 7:00,MBA Mortgage Applications,6-Jan,#N/A,1.2,-10.3,#N/A
1/12/2023 8:30,Initial Jobless Claims,7-Jan,215,205,204,203
1/12/2023 8:30,CPI MoM,Dec,-0.1,-0.1,0.1,0.26355
1/12/2023 8:30,CPI YoY,Dec,6.5,6.5,7.1,#N/A
